frame,x,y
0222,62,62
0223,62,62
0224,62,62
0225,62,62
0226,62,62
0227,62,62
0228,62,62
0229,62,62
0230,62,62
0231,62,62
0232,62,62
0233,62,62
0234,62,62
0235,62,62
0236,62,62
0237,62,62
0238,62,62
0239,62,62
0240,62,62
0241,62,62
0242,62,62
0243,62,62
0244,62,62
0245,62,62
0246,62,62
0247,62,62
0248,62,62
0249,62,62
0250,62,62
0251,62,62
0252,62,62
0253,62,62
0254,62,62
0255,62,62
0256,62,62
0257,62,62
0258,62,62
0259,62,62
0260,62,62
0261,62,62
0262,62,62
0263,62,62
0264,62,62
0265,62,62
0266,62,62
0267,62,62
0268,62,62
0269,62,62
0270,62,62
0271,62,62
0272,62,62
0273,62,62
0274,62,62
0275,62,62
0276,62,62
0277,62,62
0278,62,62
0279,62,62
0280,62,62
0281,62,62
0282,62,62
0283,62,62
0284,62,62
0285,62,62
0286,62,62
0287,62,62
0288,62,62
0289,62,62
0290,62,62
0291,62,62
0292,62,62
0293,62,62
0294,62,62
0295,62,62
0296,62,62
0297,62,62
0298,62,62
0299,62,62
0300,62,62
0301,62,62
0302,62,62
0303,62,62
0304,62,62
0305,62,62
0306,62,62
0307,62,62
0308,62,62
0309,62,62
0310,62,62
0311,62,62
0312,62,62
0313,62,62
0314,62,62
0315,62,62
0316,62,62
0317,62,62
0318,62,62
0319,62,62
0320,62,62
0321,62,62
0322,62,62
0323,62,62
0324,62,62
0325,62,62
0326,62,62
0327,62,62
0328,62,62
0329,62,62
0330,62,62
0331,62,62
0332,62,62
0333,62,62
0334,62,62
0335,62,62
0336,62,62
0337,62,62
0338,62,62
0339,62,62
0340,62,62
0341,62,62
0342,62,62
0343,62,62
0344,62,62
0345,62,62
0346,62,62
0347,62,62
0348,62,62
0349,62,62
0350,62,62
0351,62,62
0352,62,62
0353,62,62
0354,62,62
0355,62,62
0356,62,62
0357,62,62
0358,62,62
0359,62,62
0360,62,62
0361,62,62
0362,62,62
0363,62,62
0364,62,62
0365,62,62
0366,62,62
0367,62,62
0368,62,62
0369,62,62
0370,62,62
0371,62,62
0372,62,62
0373,62,62
0374,62,62
0375,62,62
0376,62,62
0377,62,62
0378,62,62
0379,62,62
0380,62,62
0381,62,62
0382,62,62
0383,62,62
0384,62,62
0385,62,62
0386,62,62
0387,62,62
0388,62,62
0389,62,62
0390,62,62
0391,62,62
0392,62,62
0393,62,62
0394,62,62
0395,62,62
0396,62,62
0397,62,62
0398,62,62
0399,62,62
0400,62,62
0401,62,62
0402,62,62
0403,62,62
0404,62,62
0405,62,62
0406,62,62
0407,62,62
0408,62,62
0409,62,62
0410,62,62
0411,62,62
0412,62,62
0413,62,62
0414,62,62
0415,62,62
0416,62,62
0417,62,62
0418,62,62
0419,62,62
0420,62,62
0421,62,62
0422,62,62
0423,62,62
0424,62,62
0425,62,62
0426,62,62
0427,62,62
0428,62,62
0429,62,62
0430,62,62
0431,62,62
0432,62,62
0433,62,62
0434,62,62
0435,62,62
0436,62,62
0437,62,62
0438,62,62
0439,62,62
0440,62,62
0441,62,62
0442,62,62
0443,62,62
0444,62,62
0445,62,62
0446,62,62
0447,62,62
0448,62,62
0449,62,62
0450,62,62
0451,62,62
0452,62,62
0453,62,62
0454,62,62
0455,62,62
0456,62,62
0457,62,62
0458,62,62
0459,62,62
0460,62,62
0461,62,62
0462,62,62
0463,62,62
0464,62,62
0465,62,62
0466,62,62
0467,62,62
0468,62,62
0469,62,62
0470,62,62
0471,62,62
0472,62,62
0473,62,62
0474,62,62
0475,62,62
0476,62,62
0477,62,62
0478,62,62
0479,62,62
0480,62,62
0481,62,62
0482,62,62
0483,62,62
0484,62,62
0485,62,62
0486,62,62
0487,62,62
0488,62,62
0489,62,62
0490,62,62
0491,62,62
0492,62,62
0493,62,62
0494,62,62
0495,62,62
0496,62,62
0497,62,62
0498,62,62
0499,62,62
