frame,x,y
0239,93,93
0084,90,93
0532,93,93
0172,93,93
0289,93,93
0485,93,93
0329,93,93
0683,93,93
0318,93,93
0454,93,93
0249,93,93
0846,93,93
0279,93,93
0455,93,93
0901,93,93
0761,93,93
0547,93,93
0180,93,93
0557,93,93
0628,93,93
0423,93,93
0843,93,93
0010,18,20
0199,93,93
0425,93,93
0534,93,93
0031,38,41
0579,93,93
0404,93,93
0277,93,93
0444,93,93
0771,93,93
0372,93,93
0722,93,93
0400,93,93
0078,85,86
0537,93,93
0575,93,93
0548,93,93
0710,93,93
0041,48,51
0885,93,93
0632,93,93
0858,93,93
0139,93,93
0385,93,93
0456,93,93
0932,93,93
0813,93,93
0140,93,93
0624,93,93
0320,93,93
0708,93,93
0457,93,93
0873,93,93
0326,93,93
0126,93,93
0132,93,93
0817,93,93
0397,93,93
0915,93,93
0993,93,93
0415,93,93
0595,93,93
0258,93,93
0313,93,93
0409,93,93
0162,93,93
0304,93,93
0286,93,93
0644,93,93
0635,93,93
0353,93,93
0068,75,77
0678,93,93
0833,93,93
0935,93,93
0679,93,93
0719,93,93
0237,93,93
0265,93,93
0090,93,93
0835,93,93
0862,93,93
0054,60,64
0657,93,93
0943,93,93
0406,93,93
0380,93,93
0124,93,93
0491,93,93
0802,93,93
0900,93,93
0430,93,93
0945,93,93
0703,93,93
0294,93,93
0878,93,93
0212,93,93
0918,93,93
0037,43,48
0860,93,93
0898,93,93
0125,93,93
0023,30,33
0839,93,93
0976,93,93
0101,93,93
0115,93,93
0435,93,93
0950,93,93
0120,93,93
0384,93,93
0047,54,57
0171,93,93
0317,93,93
0324,93,93
0880,93,93
0263,93,93
0145,93,93
0043,49,53
0504,93,93
0086,92,93
0376,93,93
0530,93,93
0984,93,93
0851,93,93
0345,93,93
0403,93,93
0226,93,93
0987,93,93
0164,93,93
0335,93,93
0600,93,93
0916,93,93
0472,93,93
0447,93,93
0107,93,93
0856,93,93
0155,93,93
0458,93,93
0280,93,93
0207,93,93
0154,93,93
0587,93,93
0757,93,93
0985,93,93
0383,93,93
0801,93,93
0648,93,93
0806,93,93
0536,93,93
0503,93,93
0737,93,93
0559,93,93
0544,93,93
0356,93,93
0206,93,93
0888,93,93
0611,93,93
0711,93,93
0531,93,93
0259,93,93
0153,93,93
0852,93,93
0063,70,72
0434,93,93
0339,93,93
0513,93,93
0748,93,93
0487,93,93
0524,93,93
0893,93,93
0952,93,93
0186,93,93
0673,93,93
0343,93,93
0377,93,93
0903,93,93
0368,93,93
0568,93,93
0275,93,93
0690,93,93
0266,93,93
0782,93,93
0937,93,93
0533,93,93
0022,29,32
0542,93,93
0097,93,93
0295,93,93
0460,93,93
0197,93,93
0707,93,93
0261,93,93
0310,93,93
0979,93,93
0160,93,93
0402,93,93
0539,93,93
0176,93,93
0726,93,93
0793,93,93
0818,93,93
0778,93,93
0756,93,93
0297,93,93
0091,93,93
0929,93,93
0449,93,93
0645,93,93
0014,22,24
0480,93,93
0996,93,93
0868,93,93
0431,93,93
0695,93,93
0502,93,93
0260,93,93
0328,93,93
0179,93,93
0564,93,93
0395,93,93
0495,93,93
0035,41,46
0442,93,93
0927,93,93
0659,93,93
0636,93,93
0098,93,93
0337,93,93
0012,20,21
0684,93,93
0116,93,93
0446,93,93
0407,93,93
0815,93,93
0312,93,93
0358,93,93
0471,93,93
0204,93,93
0227,93,93
0481,93,93
0039,45,49
0391,93,93
0110,93,93
0832,93,93
0812,93,93
0962,93,93
0421,93,93
0340,93,93
0183,93,93
0997,93,93
0422,93,93
0181,93,93
0904,93,93
0861,93,93
0649,93,93
0745,93,93
0700,93,93
0105,93,93
0919,93,93
0651,93,93
0366,93,93
0619,93,93
0905,93,93
0315,93,93
0042,48,52
0130,93,93
0440,93,93
0151,93,93
0588,93,93
0036,42,46
0152,93,93
0676,93,93
0960,93,93
0601,93,93
0437,93,93
0452,93,93
0785,93,93
0268,93,93
0133,93,93
0341,93,93
0803,93,93
0045,52,55
0283,93,93
0652,93,93
0948,93,93
0052,58,62
0821,93,93
0779,93,93
0977,93,93
0599,93,93
0208,93,93
0351,93,93
0215,93,93
0288,93,93
0278,93,93
0953,93,93
0820,93,93
0109,93,93
0118,93,93
0941,93,93
0137,93,93
0106,93,93
0306,93,93
0972,93,93
0008,16,18
0822,93,93
0309,93,93
0556,93,93
0743,93,93
0634,93,93
0291,93,93
0378,93,93
0889,93,93
0629,93,93
0357,93,93
0712,93,93
0620,93,93
0518,93,93
0662,93,93
0550,93,93
0075,81,84
0102,93,93
0576,93,93
0857,93,93
0009,17,19
0074,81,83
0951,93,93
0468,93,93
0307,93,93
0134,93,93
0859,93,93
0884,93,93
0244,93,93
0641,93,93
0209,93,93
0267,93,93
0870,93,93
0535,93,93
0578,93,93
0845,93,93
0968,93,93
0083,89,92
0040,46,50
0608,93,93
0592,93,93
0853,93,93
0583,93,93
0122,93,93
0413,93,93
0240,93,93
0723,93,93
0609,93,93
0766,93,93
0190,93,93
0082,89,91
0520,93,93
0876,93,93
0805,93,93
0783,93,93
0514,93,93
0488,93,93
0847,93,93
0672,93,93
0058,64,68
0321,93,93
0691,93,93
0555,93,93
0593,93,93
0837,93,93
0222,93,93
0303,93,93
0716,93,93
0158,93,93
0498,93,93
0569,93,93
0897,93,93
0292,93,93
0465,93,93
0988,93,93
0399,93,93
0002,12,12
0886,93,93
0168,93,93
0725,93,93
0869,93,93
0218,93,93
0492,93,93
0715,93,93
0751,93,93
0170,93,93
0242,93,93
0980,93,93
0015,23,24
0553,93,93
0667,93,93
0051,57,61
0989,93,93
0563,93,93
0453,93,93
0077,83,85
0255,93,93
0912,93,93
0717,93,93
0187,93,93
0829,93,93
0143,93,93
0966,93,93
0814,93,93
0705,93,93
0923,93,93
0254,93,93
0111,93,93
0347,93,93
0412,93,93
0062,69,71
0100,93,93
0661,93,93
0669,93,93
0689,93,93
0055,61,64
0478,93,93
0420,93,93
0755,93,93
